티커,종목명,시가,종가,변동폭,등락률,거래량,거래대금
018250,애경산업,14850,14300,-550,-3.7,363984,5239394550
161000,애경케미칼,8350,9950,1600,19.16,2096720,19315398200
011090,에넥스,1400,1385,-15,-1.07,17979514,28029096040
137310,에스디바이오센서,40300,36600,-3700,-9.18,5944517,232050696050
005850,에스엘,31350,36150,4800,15.31,5327307,181590416000
010580,에스엠벡셀,1530,1530,0,0.0,0,0
012750,에스원,63800,60100,-3700,-5.8,674319,41929920250
023960,에쓰씨엔지니어링,2140,2230,90,4.21,4894630,11190395780
298690,에어부산,1385,3660,2275,164.26,1231506,4715333065
140910,에이리츠,5410,5710,300,5.55,53864,302082280
078520,에이블씨엔씨,5310,5350,40,0.75,251346,1325816250
015260,에이엔피,2180,2270,90,4.13,905570,2034289200
007460,에이프로젠,1525,1480,-45,-2.95,72625386,111276965490
003060,에이프로젠제약,672,640,-32,-4.76,16913674,11361629239
244920,에이플러스에셋,5930,6190,260,4.38,1652175,10506173220
036570,엔씨소프트,372500,374500,2000,0.54,1808721,701817270000
380440,엔에이치스팩19호,2100,2085,-15,-0.71,848382,1766829940
085310,엔케이,965,1085,120,12.44,26886265,30146767477
900140,엘브이엠씨홀딩스,2950,3060,110,3.73,2392245,7324831265
097520,엠씨넥스,33250,36350,3100,9.32,930531,32515362900
014440,영보화학,3810,4300,490,12.86,5859756,24726173955
111770,영원무역,40350,46900,6550,16.23,2267353,99691324850
009970,영원무역홀딩스,48000,53200,5200,10.83,418856,20707355700
003520,영진약품,3565,3515,-50,-1.4,3725839,13367441090
000670,영풍,549000,612000,63000,11.48,15339,8896690000
006740,영풍제지,7470,7020,-450,-6.02,2068754,15239022780
012280,영화금속,1155,1160,5,0.43,2937694,3501901845
012160,영흥,828,855,27,3.26,1545471,1308836384
015360,예스코홀딩스,35650,35350,-300,-0.84,38411,1351456250
007310,오뚜기,449500,486500,37000,8.23,249071,112936777500
002630,오리엔트바이오,815,787,-28,-3.44,4270416,3494702510
271560,오리온,100500,110000,9500,9.45,1928172,200801709100
001800,오리온홀딩스,15050,15500,450,2.99,871751,13091015400
011690,와이투솔루션,649,735,86,13.25,39625061,31909733427
070960,용평리조트,4085,3910,-175,-4.28,496495,2002453550
316140,우리금융지주,11900,12450,550,4.62,29147438,352154760346
010050,우리종금,914,913,-1,-0.11,45342268,42890383715
006980,우성,24700,25600,900,3.64,108980,2764734950
017370,우신시스템,2550,2545,-5,-0.2,609711,1607959055
105840,우진,13000,13000,0,0.0,20173649,269338385250
010400,우진아이엔에스,6460,6510,50,0.77,1815948,13175606580
049800,우진플라임,3700,4455,755,20.41,5754336,25254918600
016880,웅진,1515,1565,50,3.3,25795130,42171467295
095720,웅진씽크빅,2545,2680,135,5.3,6283468,16821068615
005820,원림,26500,23750,-2750,-10.38,48151,1193542150
010600,웰바이오텍,1820,1765,-55,-3.02,12452213,22207167865
008600,윌비스,984,996,12,1.22,2858215,2838044502
033270,유나이티드제약,25650,25200,-450,-1.75,571866,14855537750
014830,유니드,96100,96300,200,0.21,863911,83985581700
000910,유니온,6170,6220,50,0.81,21690169,143747498990
047400,유니온머티리얼,2575,3315,740,28.74,303777471,1036100010045
011330,유니켐,1185,1185,0,0.0,1618419,1922810515
077500,유니퀘스트,9340,9120,-220,-2.36,1372209,12888152490
002920,유성기업,2945,3005,60,2.04,189240,562576180
000700,유수홀딩스,5990,6400,410,6.84,466463,2916587060
003470,유안타증권,2885,2900,15,0.52,1152081,3357193685
003475,유안타증권우,3045,3065,20,0.66,60479,188933600
072130,유엔젤,3385,3515,130,3.84,9599802,38077752985
000220,유유제약,6810,6520,-290,-4.26,725738,4896717840
000225,유유제약1우,9320,9180,-140,-1.5,99490,929663860
000227,유유제약2우B,17550,17100,-450,-2.56,5483,95560250
001200,유진투자증권,2900,2940,40,1.38,1212341,3540729945
000100,유한양행,57800,57300,-500,-0.87,1937372,111928883200
000105,유한양행우,56600,56200,-400,-0.71,8474,477895000
003460,유화증권,2465,2505,40,1.62,147628,368115520
003465,유화증권우,2600,2650,50,1.92,10448,27345115
008730,율촌화학,23450,28900,5450,23.24,2108039,56336750600
008250,이건산업,9020,9070,50,0.55,705641,6536343240
025820,이구산업,3225,3190,-35,-1.09,2897689,9596057300
214320,이노션,45550,43200,-2350,-5.16,521471,22969013650
088260,이리츠코크렙,5610,5930,320,5.7,687104,3989128230
139480,이마트,113000,104000,-9000,-7.96,2225987,236546465500
007660,이수페타시스,7310,6850,-460,-6.29,24105719,176373122090
005950,이수화학,14850,16950,2100,14.14,8157487,134627115600
015020,이스타코,1395,1325,-70,-5.02,19482690,29302427930
093230,이아이디,1415,1545,130,9.19,17645938,27706589625
074610,이엔플러스,3145,2960,-185,-5.88,11826694,38570212535
102460,이연제약,26200,25700,-500,-1.91,3107872,86731456350
084680,이월드,2020,1995,-25,-1.24,5633282,11383093365
350520,이지스레지던스리츠,4670,4670,0,0.0,673449,3132084990
334890,이지스밸류리츠,5130,5180,50,0.97,736554,3764274530
000760,이화산업,16150,15700,-450,-2.79,15462,247305450
014990,인디에프,780,781,1,0.13,576240,449157738
101140,인바이오젠,2185,2070,-115,-5.26,6999624,16029213365
006490,인스코비,2035,2010,-25,-1.23,7517120,15706189925
023800,인지컨트롤스,8300,8090,-210,-2.53,579861,4839405480
034590,인천도시가스,27250,29050,1800,6.61,801732,22973399800
129260,인터지스,2940,3160,220,7.48,1615313,4943910500
023810,인팩,9010,8020,-990,-10.99,497678,4188198050
249420,일동제약,40050,37400,-2650,-6.62,16755849,664294410050
000230,일동홀딩스,32000,29700,-2300,-7.19,11824490,363970625550
013360,일성건설,3470,3570,100,2.88,30777028,124416134305
003120,일성신약,77800,80000,2200,2.83,12251,962414400
003200,일신방직,103000,101000,-2000,-1.94,116356,12080149000
007110,일신석재,1435,1515,80,5.57,11289489,17600341750
007570,일양약품,23750,22750,-1000,-4.21,492902,11670244850
007575,일양약품우,26400,25100,-1300,-4.92,13494,348154350
008500,일정실업,23300,22250,-1050,-4.51,16640,381883550
081000,일진다이아,22050,22250,200,0.91,399005,8869087150
020760,일진디스플,2130,1895,-235,-11.03,10586886,22156374555
020150,일진머티리얼즈,73500,74000,500,0.68,4660930,348841167800
103590,일진전기,6720,5710,-1010,-15.03,9759837,60764655740
271940,일진하이솔루스,35550,35800,250,0.7,1189093,43320047100
015860,일진홀딩스,6610,6260,-350,-5.3,15179477,98113102720
226320,잇츠한불,16250,16050,-200,-1.23,318838,5268634950
317400,자이에스앤디,7920,8080,160,2.02,5209982,42128756820
033240,자화전자,25950,25500,-450,-1.73,2450608,61524079750
000950,전방,57000,53900,-3100,-5.44,16143,895054200
348950,제이알글로벌리츠,4700,4720,20,0.43,7712543,35791659595
194370,제이에스코퍼레이션,17100,18000,900,5.26,1162222,20690827100
025620,제이준코스메틱,962,901,-61,-6.34,8370751,8031439955
030000,제일기획,22800,22450,-350,-1.54,3525044,79627690400
271980,제일약품,23200,22400,-800,-3.45,235168,5432526000
001560,제일연마,9270,8780,-490,-5.29,246394,2254348460
002620,제일파마홀딩스,13350,12550,-800,-5.99,96610,1275821650
006220,제주은행,5520,5490,-30,-0.54,6660405,37151346250
089590,제주항공,15000,15900,900,6.0,3044382,48225302250
004910,조광페인트,6300,8040,1740,27.62,1999799,15482921770
004700,조광피혁,43450,44250,800,1.84,11015,491445950
001550,조비,19600,19950,350,1.79,692838,14145761550
000480,조선내화,77600,78100,500,0.64,14565,1130960700
120030,조선선재,156500,148500,-8000,-5.11,1280659,210122339500
018470,조일알미늄,2190,2160,-30,-1.37,133079278,301276438880
002600,조흥,180500,178000,-2500,-1.39,778,140314500
185750,종근당,90100,89100,-1000,-1.11,203274,18387058700
063160,종근당바이오,30050,29450,-600,-2.0,171949,5234457150
001630,종근당홀딩스,59800,61700,1900,3.18,40012,2443954600
044380,주연테크,893,857,-36,-4.03,1650431,1457987635
013890,지누스,47400,47500,100,0.21,680638,32590576250
013870,지엠비코리아,5650,5780,130,2.3,484567,2810649840
071320,지역난방공사,32100,32550,450,1.4,36575,1197259900
035000,지투알,6000,6050,50,0.83,122181,736577890
088790,진도,3435,2820,-615,-17.9,934901,2952582810
003780,진양산업,7770,7300,-470,-6.05,886332,6729220090
010640,진양폴리,6310,6150,-160,-2.54,825625,5172698030
100250,진양홀딩스,3585,3450,-135,-3.77,935409,3299686870
051630,진양화학,3815,4030,215,5.64,534683,2165644155
272450,진에어,13800,15650,1850,13.41,4437703,68728659400
011000,진원생명과학,13300,12400,-900,-6.77,8119955,107227501750
002780,진흥기업,1725,1705,-20,-1.16,15470144,27411834640
002787,진흥기업2우B,14300,14400,100,0.7,9545,139235950
002785,진흥기업우B,5260,5480,220,4.18,18287,100330430
009310,참엔지니어링,836,950,114,13.64,7731711,7306655963
000650,천일고속,65100,65600,500,0.77,2433,157785000
033250,체시스,1040,1150,110,10.58,13393830,16386065225
118000,초록뱀헬스케어,914,901,-13,-1.42,3173890,2915548194
035720,카카오,74800,76700,1900,2.54,27821741,2207136835076
323410,카카오뱅크,30900,28650,-2250,-7.28,49674039,1493581929836
377300,카카오페이,62900,68800,5900,9.38,10511615,738074222500
006380,카프로,2955,2680,-275,-9.31,2697583,7668428060
109070,컨버즈,4100,4100,0,0.0,0,0
001620,케이비아이동국실업,678,655,-23,-3.39,822532,547212429
029460,케이씨,19450,18650,-800,-4.11,469117,8635066950
281820,케이씨텍,17800,17500,-300,-1.69,473835,8012965700
381970,케이카,19100,21850,2750,14.4,11059775,245571244000
145270,케이탑리츠,1110,1120,10,0.9,1279169,1431837555
417310,코람코더원리츠,5250,5500,250,4.76,514916,2771933990
357120,코람코에너지리츠,5650,5610,-40,-0.71,1247036,6971282830
007815,코리아써우,8190,7910,-280,-3.42,50346,409614870
007810,코리아써키트,20450,18800,-1650,-8.07,3521393,69087279050
00781K,코리아써키트2우B,8640,8700,60,0.69,8948,76891090
003690,코리안리,8810,8630,-180,-2.04,1359808,11825963870
192820,코스맥스,69100,65000,-4100,-5.93,1142890,77354843200
044820,코스맥스비티아이,9430,9060,-370,-3.92,326687,3034972060
005070,코스모신소재,53600,59100,5500,10.26,12386344,739845968300
005420,코스모화학,16900,20400,3500,20.71,34600275,714085330950
071950,코아스,971,972,1,0.1,817756,806743561
002020,코오롱,25050,26050,1000,3.99,313928,8155644000
003070,코오롱글로벌,19600,18550,-1050,-5.36,636745,11865495600
003075,코오롱글로벌우,30250,31800,1550,5.12,29441,900660150
002025,코오롱우,16950,17250,300,1.77,58434,995210950
120110,코오롱인더,54700,53200,-1500,-2.74,1886694,102450900500
120115,코오롱인더우,28900,28050,-850,-2.94,46382,1319683750
138490,코오롱플라스틱,11950,11050,-900,-7.53,3629514,42382845250
021240,코웨이,64100,65900,1800,2.81,1359589,87181590500
036420,콘텐트리중앙,35200,40700,5500,15.63,2778280,110098654600
031820,콤텍시스템,810,821,11,1.36,5910951,5043010343
192400,쿠쿠홀딩스,17250,16100,-1150,-6.67,364176,6053634350
284740,쿠쿠홈시스,31500,30400,-1100,-3.49,210374,6499805150
015590,큐로,405,413,8,1.98,5071848,2108237224
264900,크라운제과,8690,9490,800,9.21,5827862,60445638740
26490K,크라운제과우,11450,12250,800,6.99,1103243,14537107650
005740,크라운해태홀딩스,7200,7550,350,4.86,3535606,30158272770
005745,크라운해태홀딩스우,11550,11650,100,0.87,128348,1617363950
259960,크래프톤,233500,255000,21500,9.21,2280172,592424981000
020120,키다리스튜디오,9570,9780,210,2.19,14057086,148469090940
039490,키움증권,84500,87600,3100,3.67,619654,53697466800
014580,태경비케이,4330,4685,355,8.2,2569748,11806584705
015890,태경산업,6320,6620,300,4.75,7678900,51820035390
006890,태경케미컬,14550,13150,-1400,-9.62,2040646,27544792950
003240,태광산업,899000,869000,-30000,-3.34,5690,5034911000
011280,태림포장,3395,3490,95,2.8,1760591,6090512955
004100,태양금속,1390,1395,5,0.36,2628585,3693003635
004105,태양금속우,2510,2445,-65,-2.59,104993,258620060
009410,태영건설,6850,6780,-70,-1.02,3545160,25329923720
009415,태영건설우,9720,9690,-30,-0.31,2255268,26657741090
001420,태원물산,5050,4995,-55,-1.09,92161,460973125
007980,태평양물산,1825,1875,50,2.74,1294638,2391237915
055490,테이팩스,75300,81800,6500,8.63,322581,25707271700
078000,텔코웨어,9780,9770,-10,-0.1,134627,1348741960
214420,토니모리,4045,4020,-25,-0.62,820545,3399369235
019180,티에이치엔,3145,3340,195,6.2,2318189,7928345900
363280,티와이홀딩스,18450,18350,-100,-0.54,615746,11553430750
36328K,티와이홀딩스우,16100,17450,1350,8.39,38428,671831650
091810,티웨이항공,1980,2040,60,3.03,4962046,10196866750
004870,티웨이홀딩스,543,530,-13,-2.39,4966716,2641411157
005690,파미셀,11500,13050,1550,13.48,23041554,317150567900
036580,팜스코,5180,5250,70,1.35,4142307,22550275670
004720,팜젠사이언스,7590,7650,60,0.79,1092692,8541853150
028670,팬오션,5650,5520,-130,-2.3,36699956,207535372070
010820,퍼스텍,3740,4000,260,6.95,77931402,322310303025
016800,퍼시스,31650,31200,-450,-1.42,44045,1389030600
001020,페이퍼코리아,1695,1990,295,17.4,8712643,16194092330
090080,평화산업,1755,1660,-95,-5.41,17394565,29748693220
010770,평화홀딩스,3875,3525,-350,-9.03,583634,2183030850
058430,포스코스틸리온,37100,38300,1200,3.23,869612,34796304100
047050,포스코인터내셔널,20550,26750,6200,30.17,22395936,533038839650
003670,포스코케미칼,131500,157000,25500,19.39,11826934,1786208170500
017810,풀무원,13500,14100,600,4.44,765124,10827340050
103140,풍산,27700,28400,700,2.53,1503218,41442664450
005810,풍산홀딩스,27450,27900,450,1.64,174808,4814471050
950210,프레스티지바이오파마,11900,11300,-600,-5.04,1749479,21810356400
009810,플레이그램,1175,1090,-85,-7.23,5235029,5831280350
086790,하나금융지주,37200,38500,1300,3.49,16464370,637043864797
293480,하나제약,18150,17550,-600,-3.31,213961,3816862450
039130,하나투어,49850,50000,150,0.3,1630165,81948391800
352820,하이브,175500,186500,11000,6.27,4005174,714991794500
071090,하이스틸,4215,4060,-155,-3.68,12990730,59044142640
019490,하이트론,2470,2470,0,0.0,0,0
000080,하이트진로,30250,30400,150,0.5,4060449,126213883168
000087,하이트진로2우B,18350,19100,750,4.09,17846,339015950
000140,하이트진로홀딩스,11650,11550,-100,-0.86,283324,3315192450
000145,하이트진로홀딩스우,14900,14750,-150,-1.01,4205,62943900
152550,한국ANKOR유전,1585,1595,10,0.63,48831,77740435
036460,한국가스공사,37200,41050,3850,10.35,4872310,188755496650
005430,한국공항,38100,40300,2200,5.77,79188,3126486450
071050,한국금융지주,63100,60800,-2300,-3.65,2310899,142533381100
071055,한국금융지주우,57000,56900,-100,-0.18,82406,4654063700
010040,한국내화,3285,3355,70,2.13,377731,1263992920
025540,한국단자,56200,62800,6600,11.74,268230,16077359800
004090,한국석유,11250,11600,350,3.11,1599981,18462102700
002200,한국수출포장,23000,24650,1650,7.17,64703,1576763450
002960,한국쉘석유,248000,255000,7000,2.82,12767,3212080500
000240,한국앤컴퍼니,12300,13400,1100,8.94,1115154,14637632400
123890,한국자산신탁,3460,3705,245,7.08,1933194,6989450795
015760,한국전력,22350,21500,-850,-3.8,13560666,295521747950
006200,한국전자홀딩스,1455,1530,75,5.15,3541514,5384943560
009540,한국조선해양,84700,92000,7300,8.62,2534468,228650629100
023350,한국종합기술,7000,7130,130,1.86,5326839,40769253500
025890,한국주강,2695,2790,95,3.53,283113,785235330
000970,한국주철관,8070,8300,230,2.85,3698266,31285656110
104700,한국철강,6810,6940,130,1.91,1282591,9054634530
017960,한국카본,13950,15100,1150,8.24,18604419,276312617800
161890,한국콜마,38850,39800,950,2.45,1353189,51976221200
024720,한국콜마홀딩스,17850,17150,-700,-3.92,326254,5638936400
161390,한국타이어앤테크놀로지,34800,39100,4300,12.36,5189610,199238135990
034830,한국토지신탁,1675,1705,30,1.79,7281051,12311279845
007280,한국특강,2455,2490,35,1.43,1208985,2927508530
168490,한국패러랠,2200,2215,15,0.68,312418,683195090
010100,한국프랜지,2590,2700,110,4.25,892061,2375477685
047810,한국항공우주,57000,56300,-700,-1.23,23460409,1351379598600
123690,한국화장품,7150,7250,100,1.4,263624,1919784090
003350,한국화장품제조,21700,22000,300,1.38,79400,1746024000
011500,한농화성,13500,13950,450,3.33,1095232,15472729200
002390,한독,18150,18200,50,0.28,192098,3553549150
014790,한라,4145,4235,90,2.17,8733535,39829806065
060980,한라홀딩스,38850,39250,400,1.03,161333,6287710400
053690,한미글로벌,11800,13500,1700,14.41,6703934,85535914000
042700,한미반도체,13500,12650,-850,-6.3,4909139,63822565000
008930,한미사이언스,40900,41500,600,1.47,905621,37577854700
128940,한미약품,309500,310500,1000,0.32,346026,108904600000
009240,한샘,57400,55000,-2400,-4.18,1159711,64552855100
020000,한섬,31100,29000,-2100,-6.75,1179675,35238699050
003680,한성기업,6420,6720,300,4.67,4137888,28798722950
105630,한세실업,16750,16800,50,0.3,7394181,129529103750
069640,한세엠케이,3680,3515,-165,-4.48,165910,593644620
016450,한세예스24홀딩스,5940,5860,-80,-1.35,248149,1453259860
010420,한솔PNS,1600,1735,135,8.44,1103550,1850125715
009180,한솔로지스틱스,3395,3345,-50,-1.47,5489077,19440192955
213500,한솔제지,14250,15150,900,6.32,1952392,28770871450
014680,한솔케미칼,219500,226000,6500,2.96,835914,186013608000
004710,한솔테크닉스,5980,6360,380,6.35,1992039,12521121710
004150,한솔홀딩스,3500,3500,0,0.0,689195,2388684100
025750,한솔홈데코,1415,1430,15,1.06,7380769,10553605350
004960,한신공영,12100,12350,250,2.07,1504783,19266688650
011700,한신기계,9070,9130,60,0.66,32756537,308093064240
001750,한양증권,11100,10300,-800,-7.21,244251,2619487950
001755,한양증권우,16300,16550,250,1.53,5037,83805150
018880,한온시스템,10650,10500,-150,-1.41,6493320,70026707700
009420,한올바이오파마,16350,16200,-150,-0.92,1944671,32114040550
014130,한익스프레스,5220,5260,40,0.77,422941,2209590720
300720,한일시멘트,14250,14850,600,4.21,5887698,94204934100
002220,한일철강,4100,4065,-35,-0.85,1056717,4511629865
006390,한일현대시멘트,25850,24550,-1300,-5.03,314274,8110976800
003300,한일홀딩스,10850,11500,650,5.99,43652,493667900
051600,한전KPS,38250,41900,3650,9.54,3802237,155435570000
052690,한전기술,65600,72800,7200,10.98,3999961,282731552200
130660,한전산업,10650,11350,700,6.57,3696905,41131764350
002320,한진,26800,27000,200,0.75,526393,14093717150
003480,한진중공업홀딩스,3970,4110,140,3.53,1089382,4473140060
180640,한진칼,60000,61000,1000,1.67,675097,41440927800
18064K,한진칼우,32900,33400,500,1.52,18134,607327100
005110,한창,1100,1110,10,0.91,136169599,158603715760
009460,한창제지,1735,1725,-10,-0.58,2216757,3840630940
372910,한컴라이프케어,5500,5480,-20,-0.36,486829,2681945020
000880,한화,27550,31200,3650,13.25,5914744,176327400650
00088K,한화3우B,15000,15850,850,5.67,725808,11269235100
088350,한화생명,2305,2345,40,1.74,20047179,45924863530
000370,한화손해보험,5010,4895,-115,-2.3,10020379,50283595035
009830,한화솔루션,43800,46600,2800,6.39,43080459,1960740112300
009835,한화솔루션우,48500,47350,-1150,-2.37,1677825,82069533600
272210,한화시스템,14550,15100,550,3.78,10946742,164191672900
012450,한화에어로스페이스,64400,70600,6200,9.63,27180064,1834723611000
000885,한화우,37250,35900,-1350,-3.62,23389,861453750
003530,한화투자증권,3335,3330,-5,-0.15,9813536,33173546115
003535,한화투자증권우,7530,7670,140,1.86,88969,672131990
195870,해성디에스,57500,60500,3000,5.22,3455307,203638295000
101530,해태제과식품,7050,7260,210,2.98,3562395,29127940370
143210,핸즈코퍼레이션,3985,4015,30,0.75,270667,1127889370
000720,현대건설,42150,46050,3900,9.25,11834579,543533129450
267270,현대건설기계,37900,38850,950,2.51,2630802,104207961950
000725,현대건설우,69700,71400,1700,2.44,52618,3780987100
005440,현대그린푸드,7730,7800,70,0.91,1660864,13015048030
086280,현대글로비스,182000,178000,-4000,-2.2,1690128,307734538500
042670,현대두산인프라코어,5570,5700,130,2.33,16759029,96173989760
064350,현대로템,26550,26050,-500,-1.88,65079878,1669795442200
079430,현대리바트,11650,11400,-250,-2.15,514684,5903939900
012330,현대모비스,228500,214500,-14000,-6.13,3355611,741079468000
010620,현대미포조선,89900,109500,19600,21.8,5164400,528764215200
069960,현대백화점,66600,65200,-1400,-2.1,1275941,84242098100
004560,현대비앤지스틸,13450,13850,400,2.97,1587630,22251355800
004565,현대비앤지스틸우,61600,60800,-800,-1.3,5226,319468700
004310,현대약품,5460,5340,-120,-2.2,7157672,40361462140
322000,현대에너지솔루션,50500,55000,4500,8.91,12131061,653954125000
017800,현대엘리베이,28150,28700,550,1.95,1324873,38678045550
307950,현대오토에버,125500,118000,-7500,-5.98,1528734,193267422500
011210,현대위아,68100,68200,100,0.15,2488185,173126807800
267260,현대일렉트릭,27450,30000,2550,9.29,6225358,178326027850
004020,현대제철,34100,32900,-1200,-3.52,5976257,202154901450
329180,현대중공업,125000,138500,13500,10.8,3272126,444110510500
005380,현대차,196000,190000,-6000,-3.06,11140152,2149936730500
005387,현대차2우B,94200,90600,-3600,-3.82,932547,86536266600
005389,현대차3우B,89800,86500,-3300,-3.67,103004,9032589800
005385,현대차우,94100,89600,-4500,-4.78,754020,69173108900
001500,현대차증권,10650,10500,-150,-1.41,441863,4625340150
011760,현대코퍼레이션,15900,17700,1800,11.32,1085399,18592941650
227840,현대코퍼레이션홀딩스,11100,11850,750,6.76,328423,3754863450
126560,현대퓨처넷,2780,2830,50,1.8,28719364,86825458975
001450,현대해상,32800,34550,1750,5.34,5234824,176661413750
057050,현대홈쇼핑,52300,51700,-600,-1.15,135440,6946654400
093240,형지엘리트,1670,1715,45,2.69,4231679,7379410305
003010,혜인,7790,7430,-360,-4.62,9017803,70875694840
111110,호전실업,9050,8960,-90,-0.99,576042,5233178160
008770,호텔신라,71800,71900,100,0.14,2087581,150962675200
008775,호텔신라우,59400,59500,100,0.17,17459,1044029400
002460,화성산업,17400,16450,-950,-5.46,683354,11751138400
378850,화승알앤에이,3410,3600,190,5.57,4961872,19037077790
241590,화승엔터프라이즈,12050,13400,1350,11.2,3863120,49657251750
006060,화승인더,5070,5290,220,4.34,2027538,10428086435
013520,화승코퍼레이션,1450,1595,145,10.0,2819367,4407646795
010690,화신,9570,9790,220,2.3,12759026,129091581040
133820,화인베스틸,2565,2880,315,12.28,2780595,7873872450
010660,화천기계,2920,3460,540,18.49,25003479,84345506175
000850,화천기공,34050,33200,-850,-2.5,109199,3807841350
016580,환인제약,17150,17150,0,0.0,279376,4776203000
032560,황금에스티,7520,7890,370,4.92,1468207,11454328350
004800,효성,76700,76300,-400,-0.52,567437,42721987600
094280,효성ITX,15100,15550,450,2.98,126130,1915128700
298040,효성중공업,60000,69500,9500,15.83,913191,59244907000
298050,효성첨단소재,393000,411500,18500,4.71,457667,187553996000
298020,효성티앤씨,344500,322000,-22500,-6.53,532474,173596895000
298000,효성화학,184500,183500,-1000,-0.54,137747,25761099000
093370,후성,18500,15900,-2600,-14.05,45103218,746198426950
081660,휠라홀딩스,30400,30350,-50,-0.16,4260800,131962366050
005870,휴니드,7980,8080,100,1.25,2099471,16926384050
079980,휴비스,6450,6140,-310,-4.81,342989,2191695610
005010,휴스틸,4010,6500,2490,62.09,25378239,149235171405
000540,흥국화재,3315,3515,200,6.03,991140,3439783790
000547,흥국화재2우B,22000,22100,100,0.45,4940,108995350
000545,흥국화재우,6980,7280,300,4.3,6747,48246800
003280,흥아해운,1830,1820,-10,-0.55,5039140,9212199565
